fatalities,date,type,registration,operator,location,cat,Latitude,Longitude
150,24-MAR-2015,Airbus A320-211,D-AIPX,Germanwings,France,C1,46.603354,1.8883335
148,19-FEB-1985,Boeing 727-256,EC-DDU,Iberia,Spain,A1,39.3262345,-4.838064900000001
148,03-JAN-2004,Boeing 737-3Q8,SU-ZCF,Flash Airlines,Egypt,A1,26.2540493,29.2675469
146,25-APR-1980,Boeing 727-46,G-BDAN,Dan-Air Services,Spain,A1,39.3262345,-4.838064900000001
145,09-JUL-1982,Boeing 727-235,N4737,Pan Am,USA,A1,39.7837304,-100.4458825
145,04-JUL-2001,Tupolev Tu-154M,RA-85845,Vladivostokavia,Russia,A1,64.6863136,97.7453061
144,07-NOV-1996,Boeing 727-231,5N-BBG,ADC Airlines,Nigeria,A1,9.6000359,7.999972099999999
144,08-FEB-1989,Boeing 707-331B,N7231T,Independent Air,Portugal,A1,40.0332629,-7.889626299999999
143,17-MAR-1988,Boeing 727-21,HK-1716,Avianca,Colombia,A1,2.8894434,-73.78389200000002
143,23-AUG-2000,Airbus A320-212,A4O-EK,Gulf Air,Bahrain,A1,26.1551249,50.5344606
141,29-AUG-1996,Tupolev Tu-154M,RA-85621,Vnukovo Airlines,Norway,A1,60.5000209,9.0999715
141,18-DEC-1995,Lockheed L-188C Electra,9Q-CRR,Trans Service Airlift,Angola,A1,-11.877576800000002,17.5691241
141,24-NOV-1992,Boeing 737-3Y0,B-2523,China Southern,China,A1,35.000074,104.999927
141,25-DEC-2003,Boeing 727-223,3X-GDO,UTA,Benin,A1,9.5293472,2.2584408
138,04-APR-1975,Lockheed C-5A Galaxy,68-0218,USAF,Vietnam,A1,13.2904027,108.4265113
137,08-JUN-1982,Boeing 727-212,PP-SRK,VASP,Brazil,A1,-10.3333333,-53.2
137,25-SEP-1978,Boeing 727-214,N533PS,PSA,USA,A1,39.7837304,-100.4458825
134,02-AUG-1985,Lockheed L-1011 TriStar 1,N726DA,Delta Air Lines,USA,A1,39.7837304,-100.4458825
133,08-FEB-1993,Tupolev Tu-154M,EP-ITD,Iran Airtour,Iran,A1,32.6475314,54.56435160000001
133,04-FEB-1966,Boeing 727-81,JA8302,All Nippon,Japan,A1,36.5748441,139.2394179
