Date,Type,Registration,Operator,Fatalities,Location,Cat
30-MAR-1971,BAC One-Eleven,,30-MAR-1971,0.0,Guangzhou,H2
31-MAR-1971,Antonov An-24,CCCP-46747,31-MAR-1971,0.0,near Moskva-Bykov...,A1
31-MAR-1971,Boeing 720-047B,N3166,31-MAR-1971,5.0,Ontario Inte...,A1
31-MAR-1971,DC-8,,31-MAR-1971,0.0,Havana-José ...,H2
31-MAR-1971,Antonov An-10,CCCP-11145,31-MAR-1971,65.0,near Voroshilovgr...,A1
??-MAR-1971,Douglas DC-6,TG-ABA,??-MAR-1971,,,U1
01-APR-1971,NAMC YS-11-102,PK-MYN,01-APR-1971,0.0,Jakarta-Kema...,A1
04-APR-1971,Fokker F-27 Friendship 200,5N-AAX,04-APR-1971,0.0,Jos Airport ...,A1
05-APR-1971,Douglas C-47A (DC-3),N57372,05-APR-1971,0.0,Beef Island ...,A1
06-APR-1971,Douglas R4D-6 (DC-3),5Y-DCA,06-APR-1971,,Nairobi Inte...,A1
08-APR-1971,Antonov An-2,LZ-...,08-APR-1971,1.0,within Bulgaria,A1
11-APR-1971,Antonov An-2R,CCCP-25588,11-APR-1971,0.0,near Tedzhen,A1
15-APR-1971,Douglas C-47A (DC-3),293246,15-APR-1971,40.0,near Floridablanc...,A1
17-APR-1971,Learjet 24D,N123CB,17-APR-1971,4.0,"near Butte, MT",A1
21-APR-1971,DC-8,,21-APR-1971,0.0,,H2
24-APR-1971,Lockheed 18 Lodestar,ZK-CGV,24-APR-1971,0.0,near Napier-Hawke...,A1
25-APR-1971,Boeing 727-59,HK-1337,25-APR-1971,0.0,Medellín-Enr...,H2
25-APR-1971,Douglas C-47A (DC-3),43-15555,25-APR-1971,5.0,Cheyenne Air...,A1
28-APR-1971,Douglas C-118 (DC-6B),2414,28-APR-1971,16.0,Manaus/Ponta...,A1
29-APR-1971,Boeing 720,,29-APR-1971,0.0,Panama City-...,H2
29-APR-1971,Antonov An-2R,CCCP-42696,29-APR-1971,0.0,near Chernivtsi,A1
02-MAY-1971,DHC-3 Otter,3689,02-MAY-1971,1.0,near Gagetown CFB...,A1
04-MAY-1971,Douglas C-47 (DC-3),TAM-22,04-MAY-1971,0.0,near La Paz-El Al...,A1
06-MAY-1971,Carstedt Jet Liner 600A,N4922V,06-MAY-1971,12.0,"near Coolidge, AZ",A1
07-MAY-1971,Douglas C-47A (DC-3),HS-TDE,07-MAY-1971,0.0,Mae Hong Son...,A1
08-MAY-1971,Douglas DC-4-1009,HK-173,08-MAY-1971,0.0,Maracaibo-La...,H2
11-MAY-1971,Curtiss C-46A,TG-ACA,11-MAY-1971,5.0,near Guatemala Ci...,A1
13-MAY-1971,NAMC YS-11,,13-MAY-1971,0.0,Tokyo-Haneda...,H2
13-MAY-1971,Douglas C-47A (DC-3),CF-BZI,13-MAY-1971,0.0,Somerset Isl...,A1
14-MAY-1971,Convair CV-240-14,N1015G,14-MAY-1971,0.0,"Buhl, ID",A1
17-MAY-1971,DC-9,,17-MAY-1971,0.0,Malmö,H2
23-MAY-1971,Tupolev Tu-134A,YU-AHZ,23-MAY-1971,78.0,Rijeka Airpo...,A1
24-MAY-1971,Antonov An-2T,CCCP-02171,24-MAY-1971,0.0,near Kirov,A1
24-MAY-1971,Grumman SA-16A Albatross (HU-16),AD.1-3,24-MAY-1971,0.0,near Braganza,A1
25-MAY-1971,Antonov An-12B,CCCP-11024,25-MAY-1971,0.0,Batagay Airport,A1
25-MAY-1971,Curtiss C-46F,CC-CAZ,25-MAY-1971,4.0,near Santiago-Los...,A1
26-MAY-1971,Hawker Siddeley HS-125-400B,01,26-MAY-1971,3.0,Devil's Peak,A1
26-MAY-1971,Hawker Siddeley HS-125-400B,02,26-MAY-1971,4.0,Devil's Peak,A1
26-MAY-1971,Hawker Siddeley HS-125-400B,03,26-MAY-1971,4.0,Devil's Peak,A1
27-MAY-1971,Ilyushin Il-14,,27-MAY-1971,0.0,Wien-Schwech...,H2
28-MAY-1971,Boeing 727,,28-MAY-1971,0.0,Nassau,H2
29-MAY-1971,Boeing 707,,29-MAY-1971,0.0,,H2
31-MAY-1971,Antonov An-2R,CCCP-32076,31-MAY-1971,3.0,near Malakhovo,A1
??-MAY-1971,Convair CV-440-0,YU-ADO,??-MAY-1971,0.0,Titograd Air...,A1
01-JUN-1971,Antonov An-24B,CCCP-47729,01-JUN-1971,0.0,Bogodorsk Is...,A1
02-JUN-1971,Curtiss C-46D,XW-PFL,02-JUN-1971,2.0,near Bouam Long,C1
