Date,Type,Registration,Operator,Fatalities,Location,Cat
12-JUN-1980,Yakovlev Yak-40,CCCP-87689,12-JUN-1980,29,near Dushanbe,A1
14-JUN-1980,Antonov An-26,235,14-JUN-1980,0,Khost Airpor...,A1
17-JUN-1980,Antonov An-26,229,17-JUN-1980,,Kabul Airpor...,A1
19-JUN-1980,DC-9-81 (MD-81),N1002G,19-JUN-1980,0,Yuma Interna...,A1
19-JUN-1980,SE-210 Caravelle VI-R,N905MW,19-JUN-1980,0,Atlanta Muni...,A1
21-JUN-1980,Hawker Siddeley HS-748,HS-THG,21-JUN-1980,0,Chiang Rai A...,A1
22-JUN-1980,Lockheed L-1049H Super Constellatio,N74CA,22-JUN-1980,3,near Columbus Mun...,A1
27-JUN-1980,Douglas DC-9-15,I-TIGI,27-JUN-1980,81,"near Ustica, Ital...",C1
27-JUN-1980,BN-2A-6 Islander,I-BADE,27-JUN-1980,0,near Isola d'Elba,A1
30-JUN-1980,Boeing 737-287C,LV-JND,30-JUN-1980,0,Buenos Aires...,H2
02-JUL-1980,Douglas C-47 (DC-3),,02-JUL-1980,2,near Prachuap Khi...,A1
05-JUL-1980,Fairchild C-119 Flying Boxcar,N90268,05-JUL-1980,0,King Salmon ...,A1
07-JUL-1980,Embraer EMB-110P1 Bandeirante,XA-DAK,07-JUL-1980,13,near Tepic Airpor...,A1
07-JUL-1980,BN-2A-26 Islander,EI-BBR,07-JUL-1980,0,Galway-Carnm...,A1
08-JUL-1980,Tupolev Tu-154B-2,CCCP-85355,08-JUL-1980,166,near Alma-Ata Air...,A1
10-JUL-1980,Douglas C-47B (DC-3),4X-FNV/036,10-JUL-1980,4,North Sinai,A1
11-JUL-1980,Boeing 727,,11-JUL-1980,0,Seattle/Taco...,H2
12-JUL-1980,DHC-6 Twin Otter 300,943,12-JUL-1980,1,near Santiago-Los...,A1
12-JUL-1980,Douglas DC-3,,12-JUL-1980,3,Port-au-Prin...,A1
12-JUL-1980,Boeing 727,,12-JUL-1980,0,Manila,H2
14-JUL-1980,Vickers 745D Viscount,HC-BHB,14-JUL-1980,0,Loja Airport...,A1
17-JUL-1980,Vickers 708 Viscount,G-ARBY,17-JUL-1980,0,Ottery St. Mary,A1
18-JUL-1980,Yakovlev Yak-40,CCCP-87793,18-JUL-1980,0,Arkhangelsk-...,A1
22-JUL-1980,Lockheed L-1011 TriStar,,22-JUL-1980,0,Camaguey,H2
24-JUL-1980,Nord 2501D Noratlas,HC-AXK,24-JUL-1980,2,within Pastaza prov...,A1
24-JUL-1980,Boeing 737-269,9K-ACV,24-JUL-1980,0,"Kuwait, Mana...",H2
27-JUL-1980,Douglas DC-7CF,CP-1291,27-JUL-1980,,Trujillo Air...,U1
27-JUL-1980,Consolidated P4Y-2G Super Privateer,N2870G,27-JUL-1980,0,Ramona Airpo...,A1
31-JUL-1980,Boeing 707-358C,4X-ATX,31-JUL-1980,0,Tel Aviv-Ben...,O2
31-JUL-1980,Antonov An-2R,SP-WLU,31-JUL-1980,,Krosinko,A1
01-AUG-1980,Douglas R4D-5 (DC-3),N45864,01-AUG-1980,0,New Smyrna B...,A1
01-AUG-1980,Douglas DC-8-43F,OB-R-1143,01-AUG-1980,3,near Mexico City-...,A1
03-AUG-1980,DHC-3 Otter,N433GR,03-AUG-1980,2,"near Togiak, AK",A1
06-AUG-1980,Fairchild F-27,N707WA,06-AUG-1980,0,"near Bridgeport, TX",A2
07-AUG-1980,Tupolev Tu-154B-1,YR-TPH,07-AUG-1980,1,Nouadhibou A...,A1
10-AUG-1980,Boeing 737,,10-AUG-1980,0,Havana,H2
11-AUG-1980,BN-2A-6 Islander,PT-KAC,11-AUG-1980,3,near Rio de Janei...,A1
13-AUG-1980,Learjet 35A,EC-DFA,13-AUG-1980,4,near Palma de Mal...,A1
13-AUG-1980,Boeing 737,,13-AUG-1980,0,Havana,H2
14-AUG-1980,DC-10,,14-AUG-1980,0,Havana,H2
16-AUG-1980,Lockheed L-1011 TriStar,,16-AUG-1980,0,Havana,H2
16-AUG-1980,DC-9,,16-AUG-1980,0,Havana,H2
16-AUG-1980,Boeing 727,,16-AUG-1980,0,Havana,H2
18-AUG-1980,DC-9,,18-AUG-1980,0,Atlanta Muni...,H2
19-AUG-1980,Fokker F-27 Friendship 400,XY-ADO,19-AUG-1980,0,Maulmyine Ai...,A1
19-AUG-1980,Lockheed L-1011 TriStar 200,HZ-AHK,19-AUG-1980,301,Riyadh Inter...,A1
23-AUG-1980,Douglas C-47 (DC-3),HJ235,23-AUG-1980,9,Guwahati,A1
23-AUG-1980,Lockheed L-100-30 Hercules,N18ST,23-AUG-1980,0+ 1,"Otay, CA",A2
25-AUG-1980,BN-2A Trislander Mk.III-1,9L-LAQ,25-AUG-1980,,Freetown-Has...,O1
26-AUG-1980,Lockheed L-1011 TriStar,,26-AUG-1980,0,Havana,H2
26-AUG-1980,Vickers 812 Viscount,PK-IVS,26-AUG-1980,37,near Jakarta-Kema...,A1
28-AUG-1980,Vickers 768D Viscount,VT-DJC,28-AUG-1980,0,Vijayawada A...,A1
29-AUG-1980,DC-8,,29-AUG-1980,0,Lima-Callao ...,H2
29-AUG-1980,Douglas C-47B (DC-3),2016,29-AUG-1980,1,Asunción,A1
02-SEP-1980,DHC-6 Twin Otter 300,HC-BAV,02-SEP-1980,0,24 Mayo Airs...,A1
03-SEP-1980,Boeing 727-21,N327PA,03-SEP-1980,0,San José-Jua...,A1
05-SEP-1980,Lockheed L-100-20 Hercules,KAF317,05-SEP-1980,8,Saint-Vincen...,A1
05-SEP-1980,Lockheed P-3B Orion,154591,05-SEP-1980,0,Barbers Poin...,A1
06-SEP-1980,BN-2A-21 Islander,5T-MAQ,06-SEP-1980,,,U1
08-SEP-1980,Boeing 727,,08-SEP-1980,0,"Tampa, Havana",H2
09-SEP-1980,Boeing 727,,09-SEP-1980,0,Sacramento M...,O2
10-SEP-1980,Douglas C-47 (DC-3),HK-329,10-SEP-1980,3,near Puerto Berrío,A1
12-SEP-1980,Boeing 727,,12-SEP-1980,0,"Miami, FL",H2
12-SEP-1980,Douglas DC-8-33F,N715UA,12-SEP-1980,3,near Iquitos,A1
12-SEP-1980,Douglas DC-3A,N75KW,12-SEP-1980,34,near West End Set...,A1
13-SEP-1980,Boeing 727,,13-SEP-1980,0,Havana,H2
14-SEP-1980,Lockheed C-130E Hercules,453,14-SEP-1980,89,near Madinah-Moha...,A1
14-SEP-1980,Lockheed C-130H Hercules,9T-TCE,14-SEP-1980,36,Kindu Airpor...,A1
14-SEP-1980,Boeing 727,,14-SEP-1980,0,"Miami, FL",H2
15-SEP-1980,Douglas DC-6B,N9018N,15-SEP-1980,3,near Haiti,A1
15-SEP-1980,Ilyushin Il-14P,CCCP-41831,15-SEP-1980,0,near Bereznik Air...,A1
17-SEP-1980,DHC-5D Buffalo,9T-CBC,17-SEP-1980,33,near Kindu Airpor...,A1
17-SEP-1980,Boeing 727,,17-SEP-1980,0,Havana,H2
18-SEP-1980,Douglas DC-7C,N75000,18-SEP-1980,0,near Castilla la ...,A1
20-SEP-1980,Curtiss C-46A,HI-197,20-SEP-1980,0,near Peninsula de...,A1
21-SEP-1980,DHC-6 Twin Otter 300,N46RA,21-SEP-1980,0,Wichita Fall...,A2
22-SEP-1980,Convair CV-240-6,ZP-CDO,22-SEP-1980,0,"near Okeechobee, FL",A1
22-SEP-1980,BN-2A-27 Islander,TF-RTO,22-SEP-1980,3,Mount Smjörf...,A1
22-SEP-1980,Boeing 707-3J9C,5-8302,22-SEP-1980,,Tehran-Mehra...,O1
23-SEP-1980,Ilyushin Il-76,YI-AIO,23-SEP-1980,,Baghdad-Sadd...,C1
24-SEP-1980,Antonov An-24TV,YI-AEM,24-SEP-1980,,near Kirkuk Airpo...,A1
01-OCT-1980,Cessna 500 Citation I,G-BPCP,01-OCT-1980,1,Jersey-State...,A1
02-OCT-1980,Lockheed C-130A Hercules,56-0504,02-OCT-1980,4,"McMinnville, TN",A1
03-OCT-1980,Douglas C-47A (DC-3),ECT-025,03-OCT-1980,2,between Madr...,A1
06-OCT-1980,Douglas DC-6BF,YN-BVI,06-OCT-1980,0,Panama City-...,A1
08-OCT-1980,Tupolev Tu-154B-2,CCCP-85321,08-OCT-1980,0,Chita Airpor...,A1
11-OCT-1980,BN-2A-26 Islander,N851JA,11-OCT-1980,1,near Ocean Cay Ai...,A1
12-OCT-1980,Canadair CL-215,UD.13-13,12-OCT-1980,2,Beniarrés,A1
13-OCT-1980,Fokker F-27 Friendship 400,PK-PFC,13-OCT-1980,0,Misool Island,A1
13-OCT-1980,Boeing 727-2F2,TC-JBJ,13-OCT-1980,1,Diyarbakir A...,H2
14-OCT-1980,Embraer C-95 Bandeirante (EMB-110),2143,14-OCT-1980,0,São Paulo-Ca...,A1
15-OCT-1980,Lockheed CC-130E Hercules,130312,15-OCT-1980,8,"near Chapais, QC",A1
16-OCT-1980,Fairchild UC-123K Provider,57-6291,16-OCT-1980,5,Fort Sill-He...,A1
17-OCT-1980,Beech 200 Super King Air,F-GBRP,17-OCT-1980,7,near Colmar-Houss...,A1
23-OCT-1980,DH-114 Heron 1B,J6-LBC,23-OCT-1980,0,Saint Lucia,O1
25-OCT-1980,Boeing 727,,25-OCT-1980,0,"Miami, FL",H2
27-OCT-1980,BN-2A Islander,ZK-IAS,27-OCT-1980,0,Stewart Isla...,A1
28-OCT-1980,Antonov An-12B,CCCP-11104,28-OCT-1980,6,near Kabul Airpor...,A1
29-OCT-1980,Lockheed YMC-130H Hercules,74-1683,29-OCT-1980,0,Valparaiso-W...,A1
??-OCT-1980,Curtiss C-46D,CP-1267,??-OCT-1980,0,La Paz,A1
??-OCT-1980,Dornier Do 28D-1 Skyservant,F-BTCU,??-OCT-1980,0,"Falea, Kényé...",A1
03-NOV-1980,Convair CV-880,YV-145C,03-NOV-1980,4,Caracas-Simo...,A1
03-NOV-1980,Douglas C-47B (DC-3),TG-BAC,03-NOV-1980,7,near Flores-Santa...,A1
04-NOV-1980,Canadair CL-44D4-1,5B-DAN,04-NOV-1980,0,Akrotiri RAF...,A1
04-NOV-1980,Boeing 737-2M2C,D2-TAA,04-NOV-1980,0,Benguela Air...,A1
04-NOV-1980,Lockheed C-130H Hercules,3556,04-NOV-1980,6+ 5,near Caracas-Simó...,A1
06-NOV-1980,DC-9,,06-NOV-1980,0,Havana-José ...,H2
12-NOV-1980,Lockheed C-141B Starlifter,67-0030,12-NOV-1980,13,near Cairo West A...,A1
12-NOV-1980,Convair CV-600,CX-BJL,12-NOV-1980,0,Buenos Aires...,H2
12-NOV-1980,Antonov An-2R,SP-CNI,12-NOV-1980,,Drzenin,A1
13-NOV-1980,Douglas C-47 (DC-3),FAC-1131,13-NOV-1980,0,near Subachoque,A1
15-NOV-1980,Curtiss C-46A,N355BY,15-NOV-1980,0,near Norman's Cay,A1
17-NOV-1980,BN-2A Trislander Mk.III,VH-BSG,17-NOV-1980,4,Annanberg-No...,A1
17-NOV-1980,BAe Nimrod MR.2,XV256,17-NOV-1980,2,near Forres-Kinlo...,A1
19-NOV-1980,Boeing 747-2B5B,HL7445,19-NOV-1980,14,Seoul-Gimpo ...,A1
21-NOV-1980,Boeing 727-92C,N18479,21-NOV-1980,0,"Yap Airport,...",A1
21-NOV-1980,Antonov An-26,,21-NOV-1980,0,near Menongue,C1
24-NOV-1980,Douglas C-47A (DC-3),HK-1221G,24-NOV-1980,20,near Murri,A1
24-NOV-1980,Douglas DC-4-1009,6903,24-NOV-1980,0,Johannesburg...,O1
28-NOV-1980,Douglas DC-6A,N844TA,28-NOV-1980,4,near Bimini,A1
28-NOV-1980,Douglas DC-7B,N816D,28-NOV-1980,2,near Pecos City A...,A1
29-NOV-1980,DHC-4A Caribou,M21-12,29-NOV-1980,,Simanggang,A1
30-NOV-1980,Boeing 707-131B,N797TW,30-NOV-1980,0,San Francisc...,A1
02-DEC-1980,Douglas C-54Q Skymaster (DC-4),N96449,02-DEC-1980,2,"near Indio, CA",A1
02-DEC-1980,Douglas C-54G (DC-4),N406WA,02-DEC-1980,0,"near Indio, CA",A2
04-DEC-1980,Antonov An-24V,SP-LTB,04-DEC-1980,0,Berlin-Tempe...,H2
05-DEC-1980,DC-9,,05-DEC-1980,0,Higuerote Ai...,H2
10-DEC-1980,DC-9-32,I-DIKC,10-DEC-1980,0,Milano-Linat...,A2
12-DEC-1980,Antonov An-26,,12-DEC-1980,5,Angola/Namib...,C1
15-DEC-1980,Boeing 727-59,HK-1337,15-DEC-1980,0,Havana-José ...,H2
16-DEC-1980,BN-2A Trislander Mk.III-2,VH-EGU,16-DEC-1980,2,"near Tumut, NS",A1
18-DEC-1980,Douglas C-47A (DC-3),3711,18-DEC-1980,,near Marandellas,U1
19-DEC-1980,Rockwell 1121 Jet Commander,N29LB,19-DEC-1980,3,"Many, LA",A1
19-DEC-1980,CC-123 Otter (DHC-3),9407,19-DEC-1980,4,Slide Mounta...,A1
19-DEC-1980,Consolidated PBY-5A Catalina,C-FIGJ,19-DEC-1980,0,"Sherbrooke, QC",A1
20-DEC-1980,Boeing 707-321F,HK-2410X,20-DEC-1980,0,Bogotá-Eldor...,A1
20-DEC-1980,Tupolev Tu-134A,,20-DEC-1980,0,Poprad/Tatry...,H2
21-DEC-1980,SE-210 Caravelle VI-R,HK-1810,21-DEC-1980,70,near Riohacha,A1
22-DEC-1980,Lockheed L-1011 TriStar 200,HZ-AHJ,22-DEC-1980,2,near Qatar,A2
26-DEC-1980,Beech Hawker BH-125-400A,XA-CUZ,26-DEC-1980,3,near Cancún Airpo...,A1
27-DEC-1980,Douglas C-47B (DC-3),N54605,27-DEC-1980,0,Reykjavík Do...,O1
??-DEC-1980,Antonov An-2,12-01,??-DEC-1980,5,near Candelaria,A1
??-???-1980,Convair CV-440-38,N102US,??-???-1980,,,A1
??-???-1980,Douglas C-47 (DC-3),N....,??-???-1980,2,"near El Banco, Ma...",A1
??-???-1980,Douglas DC-7CF,N8219H,??-???-1980,,,C1
??-???-1980,DHC-6 Twin Otter 300,FAP-313,??-???-1980,,,A1
06-JAN-1981,Tupolev Tu-134B,CCCP-65698,06-JAN-1981,0.0,Adler/Sochi ...,A1
08-JAN-1981,Boeing 720-047B,AP-AXK,08-JAN-1981,0.0,Karachi Inte...,A1
08-JAN-1981,Lockheed L-188A Electra,HR-SAW,08-JAN-1981,6.0,near Guatemala Ci...,A1
08-JAN-1981,Douglas C-47B (DC-3),HEK-15,08-JAN-1981,,Izmir-Cigli ...,A1
10-JAN-1981,Antonov An-24V,SP-LTB,10-JAN-1981,0.0,Warszawa-Oke...,H2
10-JAN-1981,Douglas DC-3,VT-AUR,10-JAN-1981,0.0,Karad Airport,A2
11-JAN-1981,Douglas C-47A (DC-3),ET-AGW,11-JAN-1981,0.0,Bahar Dar Ai...,A1
12-JAN-1981,Douglas DC-3D,N137H,12-JAN-1981,,Agua Negro R...,A1
14-JAN-1981,Bristol 170 Freighter 31E,ZK-CAM,14-JAN-1981,0.0,Blenheim-Woo...,A1
14-JAN-1981,Lockheed C-130E Hercules,69-6581,14-JAN-1981,9.0,Ramstein AFB...,A1
15-JAN-1981,DC-8-61,N913R,15-JAN-1981,0.0,Luxembourg-F...,O1
15-JAN-1981,Breguet SP-13A Atlantic,255,15-JAN-1981,3.0,near Inner Hebrides,A1
18-JAN-1981,Lockheed P-3A Orion,152161,18-JAN-1981,0.0,Whidbey Isla...,A1
18-JAN-1981,Shorts SC.7 Skyvan 3-100,8R-GFF,18-JAN-1981,4.0,within Kamoa Mountains,A1
20-JAN-1981,Beech 99A,N390CA,20-JAN-1981,7.0,near Spokane Inte...,A1
21-JAN-1981,Cessna 500 Citation I,N501GP,21-JAN-1981,5.0,Bluefield-Me...,A1
28-JAN-1981,Douglas DC-3,PP-ZNU,28-JAN-1981,0.0,"Petrolina, PE",A1
03-FEB-1981,DC-10-30,AP-AXE,03-FEB-1981,0.0,Karachi Inte...,O1
05-FEB-1981,Lockheed L-1011 TriStar,,05-FEB-1981,0.0,San Juan-Isl...,H2
06-FEB-1981,Boeing 727,,06-FEB-1981,0.0,Cúcuta,H2
07-FEB-1981,Tupolev Tu-104A,CCCP-42332,07-FEB-1981,50.0,near Leningrad,A1
10-FEB-1981,Curtiss C-46D,CP-1588,10-FEB-1981,0.0,Caravani,U1
11-FEB-1981,Lockheed L-1329 JetStar 731,N520S,11-FEB-1981,8.0,Westchester ...,A1
11-FEB-1981,Morane Saulnier (FMA) MS.760A Paris,E-218,11-FEB-1981,2.0,"near Mendoza, MD",A1
12-FEB-1981,Ilyushin Il-14T,CCCP-04188,12-FEB-1981,2.0,Krenkel Stat...,A1
13-FEB-1981,Boeing 737-2A8,VT-EAI,13-FEB-1981,0.0,Madras Airpo...,A2
17-FEB-1981,Boeing 737-293,N468AC,17-FEB-1981,0.0,Santa Ana-Jo...,A1
18-FEB-1981,Let L-410M,CCCP-67273,18-FEB-1981,,,O1
24-FEB-1981,Embraer EMB-110P Bandeirante,PT-GLB,24-FEB-1981,11.0,Belém Airpor...,A1
26-FEB-1981,Lockheed MC-130E Combat Talon I,64-0564,26-FEB-1981,23.0,near Tabones Island,A1
27-FEB-1981,DHC-6 Twin Otter 300,C-FCSV,27-FEB-1981,2.0,"Galt, ON",A1
02-MAR-1981,Douglas C-47B (DC-3),HK-2497,02-MAR-1981,0.0,near Anapoima,A2
02-MAR-1981,Boeing 720-030B,AP-AZP,02-MAR-1981,1.0,"Kabul, Damascus",H2
02-MAR-1981,Canadair CL-215,UD.13-02,02-MAR-1981,4.0,Pantano de B...,A1
05-MAR-1981,Boeing 727,,05-MAR-1981,0.0,Los Angeles ...,H2
08-MAR-1981,Antonov An-24T,CCCP-46280,08-MAR-1981,0.0,near Kursk-Vostoc...,A1
10-MAR-1981,Breguet 1150 Atlantic,29,10-MAR-1981,18.0,near Moroni-Princ...,A1
10-MAR-1981,Embraer C-95 Bandeirante (EMB-110),2168,10-MAR-1981,,Rio de Janei...,A1
11-MAR-1981,Fokker F-28 Fellowship 2000,9G-ACA,11-MAR-1981,0.0,Accra-Kotoka...,A1
15-MAR-1981,DHC-6 Twin Otter 300,C-FDHT,15-MAR-1981,0.0,Station Nord,U1
15-MAR-1981,Boeing RC-135S Cobra Ball II,61-2664,15-MAR-1981,6.0,"Shemya AFB, ...",A1
15-MAR-1981,Beech 200 Super King Air,YV-257CP,15-MAR-1981,,unknown loca...,U1
16-MAR-1981,Douglas C-47A (DC-3),C-FIRW,16-MAR-1981,0.0,Lac Bienvill...,A1
18-MAR-1981,Beech A100 King Air,N999CR,18-MAR-1981,0.0,"Houston, TX",A1
25-MAR-1981,Douglas DC-3-322,N3VB,25-MAR-1981,,near San Luis Potosí,A1
26-MAR-1981,Antonov An-24V,SP-LTU,26-MAR-1981,1.0,near Slupsk-Redzi...,A1
26-MAR-1981,Fokker F-27 Friendship 400,5A-DBR,26-MAR-1981,,,A1
26-MAR-1981,Ilyushin Il-18D,VN-B190?,26-MAR-1981,,Hoa Binh,A1
27-MAR-1981,Boeing 737-2K6,HR-SHA,27-MAR-1981,0.0,"Managua, Pan...",H2
28-MAR-1981,DC-9-32,PK-GNJ,28-MAR-1981,4.0,Bangkok-Don ...,H2
28-MAR-1981,Douglas C-54B (DC-4),N98AS,28-MAR-1981,1.0,near St. Croix,A1
29-MAR-1981,Boeing 707-329,OO-SJA,29-MAR-1981,0.0,Brussel-Zave...,A1
29-MAR-1981,Lockheed L-1329 JetStar I,N267L,29-MAR-1981,0.0,London-Luton...,A1
29-MAR-1981,Potez 840,F-BMCY,29-MAR-1981,0.0,Sumburgh Air...,A1
02-APR-1981,Swearingen SA226-TC Metro II,VH-BPL,02-APR-1981,0.0,Emerald Airp...,A1
02-APR-1981,Douglas C-47A (DC-3),N258M,02-APR-1981,3.0,near Palaú de Abajo,A1
06-APR-1981,Douglas C-47A (DC-3),CP-1470,06-APR-1981,7.0,Laguna Soliz,A1
07-APR-1981,Learjet 23,N400PG,07-APR-1981,1.0,near Cincinnati M...,A2
10-APR-1981,Airbus A300B,,10-APR-1981,1.0,Miami Intern...,H2
17-APR-1981,Handley Page HP-137 Jetstream III,N11360,17-APR-1981,13.0,near Fort Collins...,A1
21-APR-1981,Douglas C-53-DO (DC-3),F-BJBY,21-APR-1981,4.0,near Puerto de An...,A1
24-APR-1981,Lockheed L-100-20 Hercules,FAP-396,24-APR-1981,0.0,near San Juan,A1
28-APR-1981,Douglas C-47A (DC-3),PK-OBK,28-APR-1981,9.0,near Pekanbaru,A1
28-APR-1981,Antonov An-2TP,CCCP-92864,28-APR-1981,12.0,near Lazo,A1
01-MAY-1981,Vickers 832 Viscount,PK-RVN,01-MAY-1981,0.0,Semarang-Ach...,A1
02-MAY-1981,BAe-125-700A,XA-KEW,02-MAY-1981,4.0,near Monterrey,A1
02-MAY-1981,Boeing 737-248C,EI-ASD,02-MAY-1981,0.0,Le Touquet A...,H2
03-MAY-1981,Antonov An-2R,CCCP-70836,03-MAY-1981,2.0,"near Voskhod, Kra...",A1
04-MAY-1981,GAF Nomad N.22B,P2-011,04-MAY-1981,2.0,near Vanimo,A1
06-MAY-1981,Boeing EC-135N,61-0328,06-MAY-1981,21.0,near Walkersville...,A1
07-MAY-1981,BAC One-Eleven 529FR,LV-LOX,07-MAY-1981,31.0,near Buenos Aires...,A1
09-MAY-1981,DHC-4A Caribou,C-GVGU,09-MAY-1981,,"Mount Joli, QC",A1
09-MAY-1981,Douglas C-47 (DC-3),N60705,09-MAY-1981,,Vicente Guerro,A1
15-MAY-1981,Shorts SC.7 Skyvan 3-200,N70DA,15-MAY-1981,0.0,"Slate Creek, AK",A1
16-MAY-1981,Lockheed L-100-20 Hercules,D2-EAS,16-MAY-1981,4.0,near Menongue Air...,C1
20-MAY-1981,Convair CV-440-11,XA-HEK,20-MAY-1981,24.0,Pinarete Mou...,A1
21-MAY-1981,Antonov An-2P,CCCP-35198,21-MAY-1981,,,A1
22-MAY-1981,DHC-6 Twin Otter 300,HC-BAX,22-MAY-1981,18.0,near Zumba,A1
24-MAY-1981,DC-9-32,TC-JAL,24-MAY-1981,0.0,Bourgas Airp...,H2
24-MAY-1981,Beech 200 Super King Air,FAE-723,24-MAY-1981,9.0,Huairapungo ...,A1
24-MAY-1981,Douglas C-47B (DC-3),6878,24-MAY-1981,0.0,Johannesburg...,O1
29-MAY-1981,Lockheed C-130H Hercules,SU-BAH/1276,29-MAY-1981,17.0,near Cairo West A...,A1
31-MAY-1981,Dassault Falcon 20C,7T-VRE,31-MAY-1981,3.0,near Bamako Airpo...,A1
02-JUN-1981,BN-2A-7 Islander,N28377,02-JUN-1981,0.0,"near Nassau, Bahamas",A1
04-JUN-1981,Convair C-131E (CV-440),N121CA,04-JUN-1981,0.0,Dillingham M...,A1
05-JUN-1981,Learjet 23,F-GAMA,05-JUN-1981,,unknown,U1
05-JUN-1981,Fokker F-27 Friendship 600,AP-AXF,05-JUN-1981,0.0,Gilgit Airpo...,A1
07-JUN-1981,Antonov An-2M,CCCP-02357,07-JUN-1981,0.0,Voroshilovgr...,A1
07-JUN-1981,Fokker F-27 Friendship 400,XY-ADN,07-JUN-1981,0.0,Thandwe Airp...,A1
11-JUN-1981,Boeing 707-341C,PP-VJT,11-JUN-1981,0.0,Manaus-Eduar...,A1
12-JUN-1981,DHC-3 Otter,C-FRHW,12-JUN-1981,0.0,"near Smithers, BC",A2
13-JUN-1981,Tupolev Tu-154,CCCP-85029,13-JUN-1981,0.0,Bratsk Airpo...,A1
13-JUN-1981,BN-2A-8 Islander,B-11108,13-JUN-1981,2.0,near Hualien Airp...,A1
13-JUN-1981,Antonov An-2R,CCCP-07712,13-JUN-1981,2.0,near Saldus,A1
14-JUN-1981,Ilyushin Il-14M,CCCP-41838,14-JUN-1981,48.0,near Ust'-Barguzin,A1
15-JUN-1981,BN-2A-20 Islander,P2-ISA,15-JUN-1981,0.0,Rabaul-Lakun...,A2
16-JUN-1981,HAL-748,VT-DXI,16-JUN-1981,0.0,near Tirupati Air...,A1
17-JUN-1981,Douglas C-47A (DC-3),HK-1078,17-JUN-1981,2.0,near Miraflores A...,A1
19-JUN-1981,Hawker Siddeley HS-125-1A,N6SS,19-JUN-1981,0.0,near Narsarsuaq,A2
24-JUN-1981,Douglas DC-3-209A,N18949,24-JUN-1981,0.0,West Deering...,A1
25-JUN-1981,Douglas C-47 (DC-3),FAC-1129,25-JUN-1981,,Villavicenci...,A1
26-JUN-1981,Hawker Siddeley HS-748,G-ASPL,26-JUN-1981,3.0,Nailstone,A1
27-JUN-1981,Fairchild C-119G Flying Boxcar,N8682,27-JUN-1981,0.0,"near Bettles, AK",A1
28-JUN-1981,Tupolev Tu-134A,CCCP-65871,28-JUN-1981,0.0,Simferopol A...,A1
??-JUN-1981,BN-2A-8 Islander,TN-ADS,??-JUN-1981,,,U1
01-JUL-1981,Douglas R4D-1 (DC-3),N111ST,01-JUL-1981,3.0,Pilot Point ...,A1
05-JUL-1981,Boeing 707-327C,OD-AGW,05-JUL-1981,0.0,Beirut Inter...,O1
08-JUL-1981,Fairchild C-119C Flying Boxcar,N13742,08-JUL-1981,2.0,near Frazier Park...,A1
09-JUL-1981,Howard 500,C-GKFN,09-JUL-1981,3.0,Toronto Inte...,A1
10-JUL-1981,Lockheed L-1011 TriStar,,10-JUL-1981,0.0,Havana,H2
12-JUL-1981,Consolidated PBY-6A Super Catalina,C-GFFJ,12-JUL-1981,0.0,Jackson Lake...,A1
14-JUL-1981,Douglas SC-54G (DC-4),N3373F,14-JUL-1981,3.0,"near Kenai, AK",A1
15-JUL-1981,Martin 4-0-4,CP-1318,15-JUL-1981,0.0,Beni,U1
15-JUL-1981,Beech 200 Super King Air,N631SR,15-JUL-1981,6.0,near King Cove Ai...,A1
15-JUL-1981,Antonov An-2T,CCCP-01883,15-JUL-1981,0.0,"Kedrovy, Bod...",A1
18-JUL-1981,Canadair CL-44D4-6,LV-JTN,18-JUL-1981,4.0,near Yerevan,A1
20-JUL-1981,Fokker F-27 Friendship 600RF,6O-SAY,20-JUL-1981,50.0,near Balad,A1
20-JUL-1981,BN-2A-6 Islander,N116DW,20-JUL-1981,0.0,San Juan-Isl...,A1
21-JUL-1981,Antonov An-24V,SP-LTI,21-JUL-1981,0.0,Berlin-Tempe...,H2
21-JUL-1981,Antonov An-2R,YR-PVJ,21-JUL-1981,0.0,near Stupina,A1
24-JUL-1981,DHC-6 Twin Otter 300,5R-MGB,24-JUL-1981,19.0,near Maroantsetra...,A1
25-JUL-1981,Douglas DC-3A,HK-772,25-JUL-1981,3.0,near Carurú Airpo...,A1
27-JUL-1981,DC-9-32,XA-DEN,27-JUL-1981,30.0,Chihuahua-Ge...,A1
30-JUL-1981,Antonov An-2R,CCCP-07422,30-JUL-1981,0.0,Chimkent region,A1
31-JUL-1981,Curtiss C-46D,CC-CAT,31-JUL-1981,5.0,near Cochrane Air...,A1
31-JUL-1981,DHC-6 Twin Otter 300,FAP-205,31-JUL-1981,7.0,near Coclecito,A1
01-AUG-1981,Ilyushin Il-14M,CCCP-91517,01-AUG-1981,11.0,near Utichiy Island,A1
01-AUG-1981,Douglas C-47B (DC-3),F-BJHC,01-AUG-1981,6.0,near Beira,C1
03-AUG-1981,Douglas C-53 (DC-3),FAC-1128,03-AUG-1981,0.0,near Cali-Palmase...,A1
05-AUG-1981,Antonov An-24V,SP-LTI,05-AUG-1981,0.0,Gdansk Airpo...,H2
07-AUG-1981,Douglas C-47B (DC-3),CC-CBW,07-AUG-1981,0.0,near Coyhaique Ai...,A2
09-AUG-1981,Antonov An-2TP,CCCP-29354,09-AUG-1981,,near Palana,A1
10-AUG-1981,Ford 5-AT-B Tri-Motor,N76GC,10-AUG-1981,0.0,Las Vegas-Mc...,O1
