Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
08-MAY-2009,Boeing 747-48EF,HL7419,08-MAY-2009,0,near Frankfurt In...,42.8509272,-2.679841
18-MAY-2009,Antonov An-24T,EK-46839,18-MAY-2009,0,Dire Dawa-Ab...,9.5913193,41.8566373
22-MAY-2009,Beech B300 King Air 350,PR-MOZ,22-MAY-2009,14,Porto Seguro...,-16.443473,-39.064251
26-MAY-2009,Antonov An-26,9Q-CSA,26-MAY-2009,3,near Isiro-Matari...,2.8286128,27.5872836
28-MAY-2009,DHC-5D Buffalo,AEE-501,28-MAY-2009,0,Quevedo Airport,-0.9915952,-79.4644869
01-JUN-2009,Airbus A330-203,F-GZCP,01-JUN-2009,228,near São Pedro an...,-19.9435977,-43.93702
02-JUN-2009,DHC-6 Twin Otter 200,8Q-MAG,02-JUN-2009,0,Halaveli Res...,4.038515,72.9195173
03-JUN-2009,Boeing 737-59D,VP-BXM,03-JUN-2009,0,Simferopol A...,45.0205991,33.9976749
07-JUN-2009,BN-2A-27 Islander,C-FJJR,07-JUN-2009,1,near Port Hope Si...,43.9515755,-78.2939704
08-JUN-2009,Antonov An-32,K3062,08-JUN-2009,13,Rinchi villa...,29.60953,79.33228
09-JUN-2009,MD-11F,HZ-ANB,09-JUN-2009,0,Khartoum-Civ...,50.45466,30.5238
10-JUN-2009,Beech 200C Super King Air,ZS-PNZ,10-JUN-2009,0,Lanseria Int...,66.03169,60.16594
14-JUN-2009,Dornier 328-110,PK-TXN,14-JUN-2009,0,Tanahmerah A...,-7.0856188,114.3145658
18-JUN-2009,Learjet 40,N998AL,18-JUN-2009,0,Fort Worth-M...,32.753177,-97.3327459
20-JUN-2009,Antonov An-2,,20-JUN-2009,0,"Pologi, Zapo...",28.63385,-111.3178
25-JUN-2009,Xian MA60,RP-C8892,25-JUN-2009,0,Caticlan-Mal...,47.06979,22.81441
26-JUN-2009,Let L-410UVP-E,HK-4094,26-JUN-2009,0,Capurganá Ai...,8.6365992,-77.3471937
27-JUN-2009,BAe 3201 Jetstream 31,N485UE,27-JUN-2009,0,Salerno FOB,33.3699241,69.9680295
29-JUN-2009,BN-2B-26 Islander,D-ILFC,29-JUN-2009,0,Wangerooge A...,53.7834392,7.9342106
30-JUN-2009,Airbus A310-324,7O-ADJ,30-JUN-2009,152,near Mitsamiouli,-11.3888547,43.2930126
05-JUL-2009,BN-2A Trislander Mk.III-1,ZK-LOU,05-JUL-2009,0,near Great Barrie...,44.4095017,-79.7057267
13-JUL-2009,Boeing 737-3H4,N387SW,13-JUL-2009,0,"near Charleston, WV",38.3505995,-81.6332812
15-JUL-2009,Tupolev Tu-154M,EP-CPG,15-JUL-2009,168,near Qazvin,36.2804074,50.006663
19-JUL-2009,BAe 3212 Jetstream 32,YV1200,19-JUL-2009,0,Metropolitan...,43.1561351,-77.6066527
21-JUL-2009,Beech 100 King Air,C-FDAM,21-JUL-2009,0,Edmonton Int...,66.03169,60.16594
